step,n_forces,force_relax_used,force_residual,sample_fx,sample_fy,sample_fz
1,80,0.200000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,80,0.200000,1.000000e+00,-2.293418e-27,0.000000e+00,3.186852e-15
3,80,0.200000,9.999971e-01,-5.195261e-22,4.850622e-16,7.212533e-10
4,80,0.200000,9.632321e-01,1.824064e-18,4.347820e-15,3.810046e-09
5,80,0.200000,9.190385e-01,5.911050e-18,1.548531e-14,1.074023e-08
6,80,0.200000,8.709193e-01,-6.537451e-18,3.900866e-14,2.224158e-08
7,80,0.200000,8.229605e-01,-3.341260e-16,7.708073e-14,3.840221e-08
8,80,0.200000,7.762332e-01,-1.390910e-15,1.306087e-13,5.890814e-08
9,80,0.200000,7.275340e-01,-3.802345e-15,1.877149e-13,8.319759e-08
10,80,0.200000,6.722423e-01,-7.407813e-15,2.288631e-13,1.103290e-07
11,80,0.200000,6.060093e-01,-9.014234e-15,2.473731e-13,1.387444e-07
12,80,0.200000,5.267751e-01,-1.071871e-14,2.672439e-13,1.665194e-07
13,80,0.200000,4.369939e-01,-1.697830e-14,3.021686e-13,1.920323e-07
14,80,0.200000,3.422803e-01,-2.072126e-14,3.442506e-13,2.141836e-07
15,80,0.200000,2.484754e-01,-1.349616e-14,3.944454e-13,2.321549e-07
16,80,0.200000,1.661122e-01,1.246876e-15,4.605645e-13,2.454047e-07
17,80,0.200000,1.308119e-01,2.359269e-14,5.265272e-13,2.538468e-07
18,80,0.200000,1.685443e-01,4.993661e-14,5.644254e-13,2.576904e-07
19,80,0.200000,2.332019e-01,5.277441e-14,5.541398e-13,2.573203e-07
20,80,0.200000,2.976785e-01,5.032106e-14,4.964559e-13,2.522444e-07
21,80,0.200000,3.606789e-01,4.856778e-14,4.122817e-13,2.414920e-07
22,80,0.200000,4.230335e-01,3.921823e-14,3.193377e-13,2.245779e-07
23,80,0.200000,5.073090e-01,2.922289e-14,2.326287e-13,2.004834e-07
24,80,0.200000,6.215857e-01,2.207887e-14,1.739025e-13,1.682980e-07
25,80,0.200000,7.250921e-01,1.950220e-14,1.568470e-13,1.274652e-07
26,80,0.200000,7.641277e-01,1.956929e-14,1.884191e-13,7.807232e-08
27,80,0.200000,7.411404e-01,2.166408e-14,2.900579e-13,2.078705e-08
28,80,0.200000,6.896033e-01,3.140790e-14,5.030372e-13,-4.357445e-08
29,80,0.200000,6.338301e-01,3.353007e-14,8.751169e-13,-1.145079e-07
30,80,0.200000,5.843232e-01,3.075453e-14,1.454582e-12,-1.917855e-07
31,80,0.200000,5.442977e-01,3.534784e-14,2.302129e-12,-2.753793e-07
32,80,0.200000,5.154850e-01,5.554233e-14,3.480301e-12,-3.654486e-07
33,80,0.200000,4.989707e-01,5.515715e-14,5.004603e-12,-4.624267e-07
34,80,0.200000,4.920622e-01,9.119684e-14,6.835616e-12,-5.666278e-07
35,80,0.200000,4.882778e-01,2.062615e-13,8.954325e-12,-6.779208e-07
36,80,0.200000,4.820477e-01,3.784233e-13,1.139393e-11,-7.955693e-07
37,80,0.200000,4.717324e-01,6.458311e-13,1.419481e-11,-9.185275e-07
38,80,0.200000,4.586228e-01,1.018414e-12,1.738383e-11,-1.045700e-06
39,80,0.200000,4.459480e-01,1.107655e-12,2.102906e-11,-1.177050e-06
40,80,0.200000,4.351169e-01,1.168537e-12,2.521570e-11,-1.311451e-06
41,80,0.200000,4.284812e-01,1.154703e-12,2.999591e-11,-1.448029e-06
42,80,0.200000,4.279814e-01,8.441980e-13,3.534475e-11,-1.588789e-06
43,80,0.200000,4.282569e-01,2.488210e-13,4.102779e-11,-1.732446e-06
44,80,0.200000,4.281132e-01,-6.241556e-13,4.682242e-11,-1.877583e-06
45,80,0.200000,4.261511e-01,-1.642609e-12,5.256779e-11,-2.022904e-06
46,80,0.200000,4.214539e-01,-1.717402e-12,5.808193e-11,-2.166830e-06
47,80,0.200000,4.137033e-01,-2.013677e-12,6.320339e-11,-2.308310e-06
48,80,0.200000,4.034134e-01,-2.654864e-12,6.787984e-11,-2.446023e-06
49,80,0.200000,3.917364e-01,-1.958380e-12,7.216885e-11,-2.578091e-06
50,80,0.200000,3.797213e-01,-3.771718e-13,7.611093e-11,-2.703114e-06
51,80,0.200000,3.681434e-01,2.387931e-12,7.958014e-11,-2.820091e-06
52,80,0.200000,3.572594e-01,5.701837e-12,8.233032e-11,-2.928569e-06
53,80,0.200000,3.470669e-01,7.207313e-12,8.413590e-11,-3.028838e-06
54,80,0.200000,3.370383e-01,9.049500e-12,8.475538e-11,-3.120208e-06
55,80,0.200000,3.265057e-01,1.176685e-11,8.390066e-11,-3.201943e-06
56,80,0.200000,3.149034e-01,1.490806e-11,8.132540e-11,-3.273074e-06
57,80,0.200000,3.020824e-01,1.821979e-11,7.699851e-11,-3.332341e-06
58,80,0.200000,2.881302e-01,2.128291e-11,7.111223e-11,-3.378146e-06
59,80,0.200000,2.766240e-01,1.927356e-11,6.396439e-11,-3.413751e-06
60,80,0.200000,2.633590e-01,1.679001e-11,5.570283e-11,-3.436143e-06
61,80,0.200000,2.487519e-01,1.417631e-11,4.644880e-11,-3.442550e-06
62,80,0.200000,2.418411e-01,1.065035e-11,3.633416e-11,-3.437912e-06
63,80,0.200000,2.298237e-01,5.938627e-12,2.543370e-11,-3.418336e-06
64,80,0.200000,2.137320e-01,6.619978e-13,1.377277e-11,-3.380263e-06
65,80,0.200000,1.953216e-01,-5.041636e-12,1.439551e-12,-3.321564e-06
66,80,0.200000,1.755530e-01,-1.067023e-11,-1.125943e-11,-3.240679e-06
67,80,0.200000,1.550354e-01,-1.518733e-11,-2.379131e-11,-3.135963e-06
68,80,0.200000,1.342733e-01,-1.916612e-11,-3.553432e-11,-3.006368e-06
69,80,0.200000,1.145737e-01,-1.886456e-11,-4.578633e-11,-2.849583e-06
70,80,0.200000,9.791460e-02,-1.724668e-11,-5.388504e-11,-2.665047e-06
71,80,0.200000,8.874535e-02,-1.507503e-11,-5.920485e-11,-2.452451e-06
72,80,0.200000,9.208000e-02,-1.273975e-11,-6.124768e-11,-2.212178e-06
73,80,0.200000,1.099850e-01,-1.085970e-11,-5.965106e-11,-1.945378e-06
74,80,0.200000,1.406711e-01,-9.189262e-12,-5.408087e-11,-1.653326e-06
75,80,0.200000,1.831217e-01,-7.431243e-12,-4.410971e-11,-1.336299e-06
76,80,0.200000,2.386119e-01,-5.601098e-12,-2.933904e-11,-9.950152e-07
77,80,0.200000,3.108075e-01,-3.541648e-12,-9.390206e-12,-6.299124e-07
78,80,0.200000,4.072771e-01,-9.501738e-13,1.604604e-11,-2.412357e-07
79,80,0.200000,5.130625e-01,2.903231e-12,4.705623e-11,1.701210e-07
80,80,0.200000,6.630109e-01,7.202096e-12,8.364352e-11,6.046710e-07
81,80,0.200000,8.757018e-01,1.221985e-11,1.255627e-10,1.062010e-06
82,80,0.200000,1.052524e+00,1.116000e-11,1.728921e-10,1.545291e-06
83,80,0.200000,1.244307e+00,9.394181e-12,2.249964e-10,2.050794e-06
84,80,0.200000,1.357506e+00,7.617753e-12,2.811546e-10,2.574522e-06
85,80,0.200000,1.309744e+00,5.860480e-12,3.406555e-10,3.113097e-06
86,80,0.200000,1.164016e+00,7.633337e-12,4.027535e-10,3.663239e-06
87,80,0.200000,1.009216e+00,8.535031e-12,4.667059e-10,4.223141e-06
88,80,0.200000,8.784063e-01,8.906857e-12,5.314293e-10,4.791201e-06
89,80,0.200000,7.740073e-01,1.464292e-11,5.954005e-10,5.365536e-06
90,80,0.200000,6.907699e-01,2.512646e-11,6.568920e-10,5.944263e-06
91,80,0.200000,6.231259e-01,4.141264e-11,7.141776e-10,6.525206e-06
92,80,0.200000,5.669129e-01,6.075193e-11,7.656311e-10,7.105968e-06
93,80,0.200000,5.189741e-01,7.042203e-11,8.098298e-10,7.684409e-06
94,80,0.200000,4.774728e-01,7.998235e-11,8.455401e-10,8.256968e-06
95,80,0.200000,4.409648e-01,1.005041e-10,8.718462e-10,8.819045e-06
96,80,0.200000,4.084324e-01,1.244351e-10,8.881053e-10,9.367068e-06
97,80,0.200000,3.791920e-01,1.520875e-10,8.935369e-10,9.898150e-06
98,80,0.200000,3.526506e-01,1.826257e-10,8.870313e-10,1.040913e-05
99,80,0.200000,3.312924e-01,1.573054e-10,8.682841e-10,1.091231e-05
100,80,0.200000,3.106931e-01,1.268833e-10,8.357143e-10,1.140110e-05
101,80,0.200000,2.902867e-01,9.534481e-11,7.878448e-10,1.186635e-05
102,80,0.200000,2.791406e-01,6.187172e-11,7.246107e-10,1.232698e-05
103,80,0.200000,2.630645e-01,8.206879e-12,6.452933e-10,1.276760e-05
104,80,0.200000,2.428201e-01,-7.158021e-11,5.503948e-10,1.317325e-05
105,80,0.200000,2.205658e-01,-1.654650e-10,4.414439e-10,1.353233e-05
106,80,0.200000,1.978150e-01,-2.678954e-10,3.204302e-10,1.383733e-05
107,80,0.200000,1.752575e-01,-3.271653e-10,1.894863e-10,1.408153e-05
108,80,0.200000,1.532257e-01,-3.646881e-10,5.072068e-11,1.426197e-05
109,80,0.200000,1.318813e-01,-4.119869e-10,-9.396925e-11,1.437891e-05
110,80,0.200000,1.112183e-01,-4.698184e-10,-2.429148e-10,1.443334e-05
111,80,0.200000,9.109217e-02,-5.727255e-10,-3.945612e-10,1.442818e-05
112,80,0.200000,7.127506e-02,-5.514886e-10,-5.460352e-10,1.435509e-05
113,80,0.200000,5.171123e-02,-5.446512e-10,-6.944944e-10,1.421593e-05
114,80,0.200000,3.406074e-02,-4.737460e-10,-8.360856e-10,1.400731e-05
115,80,0.200000,2.557289e-02,-3.888786e-10,-9.671111e-10,1.372931e-05
116,80,0.200000,3.690296e-02,-3.107773e-10,-1.084185e-09,1.338369e-05
117,80,0.200000,6.033441e-02,-3.562191e-10,-1.185487e-09,1.298070e-05
118,80,0.200000,8.912894e-02,-2.985703e-10,-1.266222e-09,1.250559e-05
119,80,0.200000,1.077700e-01,-2.692729e-10,-1.327561e-09,1.197896e-05
120,80,0.200000,1.330135e-01,-2.458990e-10,-1.367345e-09,1.139607e-05
121,80,0.200000,1.667219e-01,-2.260858e-10,-1.383479e-09,1.075207e-05
122,80,0.200000,1.667269e-01,-1.926044e-10,-1.378791e-09,1.006890e-05
123,80,0.200000,1.876358e-01,-1.710388e-10,-1.350333e-09,9.336233e-06
124,80,0.200000,2.337503e-01,-1.608366e-10,-1.295236e-09,8.544369e-06
125,80,0.200000,3.045481e-01,-1.537005e-10,-1.211545e-09,7.687564e-06
126,80,0.200000,4.033948e-01,-1.447259e-10,-1.098449e-09,6.763721e-06
127,80,0.200000,5.403195e-01,-1.294526e-10,-9.562302e-10,5.772938e-06
128,80,0.200000,7.370347e-01,-1.074757e-10,-7.864864e-10,4.718279e-06
129,80,0.200000,1.042433e+00,-8.063935e-11,-5.911355e-10,3.601793e-06
130,80,0.200000,1.577672e+00,-5.497165e-11,-3.728174e-10,2.427166e-06
131,80,0.200000,2.690523e+00,-3.013469e-11,-1.348036e-10,1.199807e-06
132,80,0.200000,4.509826e+00,-9.338505e-12,1.193655e-10,-7.460065e-08
133,80,0.200000,3.350072e+00,8.351255e-12,3.858455e-10,-1.390212e-06
134,80,0.200000,2.081354e+00,2.556163e-11,6.601211e-10,-2.740080e-06
135,80,0.200000,1.476577e+00,4.332022e-11,9.373030e-10,-4.118131e-06
