# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,airfoil,0,BQBDEAYISZ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,51,33
# x,y,z,u,w
1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
9.808667972515531241e-01, 0.000000000000000000e+00, -2.658214393806207585e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
9.533600357523892566e-01, 0.000000000000000000e+00, -6.388813408782813286e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
9.146281694674055496e-01, 0.000000000000000000e+00, -1.146506287955815877e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
8.616579226668742431e-01, 0.000000000000000000e+00, -1.808627112944306836e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
7.920342840921980043e-01, 0.000000000000000000e+00, -2.624122301500990406e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
7.051444693743731396e-01, 0.000000000000000000e+00, -3.552767908314807821e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
6.034544052447328166e-01, 0.000000000000000000e+00, -4.501420335157080288e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
4.930126061988909236e-01, 0.000000000000000000e+00, -5.325383886421894419e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
3.823958924482767641e-01, 0.000000000000000000e+00, -5.862014707261097718e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
2.802784782198682878e-01, 0.000000000000000000e+00, -5.992790782121118487e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
1.929544147415269695e-01, 0.000000000000000000e+00, -5.693819367278632471e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.231822059876346853e-01, 0.000000000000000000e+00, -5.030629628982129925e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
