x,y,z
8.984999999999998543e-02,5.000000000000000104e-03,3.786046864158155566e-03
8.954999999999999072e-02,1.499999999999999944e-02,3.773405639236091652e-03
8.924999999999999600e-02,2.500000000000000139e-02,3.760764414314027738e-03
8.895000000000000129e-02,3.500000000000000333e-02,3.748123189391963823e-03
8.865000000000000657e-02,4.499999999999999833e-02,3.735481964469899909e-03
8.834999999999999798e-02,5.500000000000000028e-02,3.722840739547835995e-03
8.804999999999998939e-02,6.500000000000000222e-02,3.710199514625771647e-03
8.774999999999999467e-02,7.499999999999999722e-02,3.697558289703707732e-03
8.744999999999999996e-02,8.500000000000000611e-02,3.684917064781643818e-03
8.715000000000000524e-02,9.500000000000000111e-02,3.672275839859580338e-03
8.684999999999999665e-02,1.049999999999999961e-01,3.659634614937516423e-03
8.655000000000000193e-02,1.150000000000000050e-01,3.646993390015452509e-03
8.624999999999999334e-02,1.250000000000000000e-01,3.634352165093388161e-03
8.594999999999999862e-02,1.350000000000000089e-01,3.621710940171324247e-03
8.565000000000000391e-02,1.449999999999999900e-01,3.609069715249260332e-03
8.534999999999999531e-02,1.549999999999999989e-01,3.596428490327196418e-03
8.505000000000000060e-02,1.650000000000000078e-01,3.583787265405132504e-03
8.475000000000000588e-02,1.749999999999999889e-01,3.571146040483068589e-03
8.444999999999999729e-02,1.849999999999999978e-01,3.558504815561004241e-03
8.415000000000000258e-02,1.950000000000000067e-01,3.545863590638940327e-03
8.384999999999999398e-02,2.049999999999999878e-01,3.533222365716876413e-03
8.354999999999999927e-02,2.149999999999999967e-01,3.520581140794812498e-03
8.325000000000000455e-02,2.250000000000000056e-01,3.507939915872748584e-03
8.294999999999999596e-02,2.349999999999999867e-01,3.495298690950685103e-03
8.265000000000000124e-02,2.449999999999999956e-01,3.482657466028620755e-03
8.234999999999999265e-02,2.550000000000000044e-01,3.470016241106556841e-03
8.204999999999999793e-02,2.650000000000000133e-01,3.457375016184492927e-03
8.175000000000000322e-02,2.750000000000000222e-01,3.444733791262429012e-03
8.144999999999999463e-02,2.849999999999999756e-01,3.432092566340365098e-03
8.114999999999999991e-02,2.949999999999999845e-01,3.419451341418300750e-03
8.084999999999999132e-02,3.049999999999999933e-01,3.406810116496236836e-03
8.054999999999999660e-02,3.150000000000000022e-01,3.394168891574172921e-03
8.025000000000000189e-02,3.250000000000000111e-01,3.381527666652109007e-03
7.994999999999999329e-02,3.350000000000000200e-01,3.368886441730045093e-03
7.964999999999999858e-02,3.449999999999999734e-01,3.356245216807981178e-03
7.935000000000000386e-02,3.549999999999999822e-01,3.343603991885917264e-03
7.904999999999999527e-02,3.649999999999999911e-01,3.330962766963852916e-03
7.875000000000000056e-02,3.750000000000000000e-01,3.318321542041789435e-03
7.844999999999999196e-02,3.850000000000000089e-01,3.305680317119725521e-03
7.814999999999999725e-02,3.950000000000000178e-01,3.293039092197661607e-03
7.785000000000000253e-02,4.050000000000000266e-01,3.280397867275597693e-03
7.754999999999999394e-02,4.149999999999999800e-01,3.267756642353533345e-03
7.724999999999999922e-02,4.249999999999999889e-01,3.255115417431469430e-03
7.694999999999999063e-02,4.349999999999999978e-01,3.242474192509405516e-03
7.664999999999999591e-02,4.450000000000000067e-01,3.229832967587341602e-03
7.635000000000000120e-02,4.550000000000000155e-01,3.217191742665277687e-03
7.604999999999999261e-02,4.650000000000000244e-01,3.204550517743213339e-03
7.575000000000001177e-02,4.749999999999999778e-01,3.191909292821149859e-03
7.544999999999998930e-02,4.849999999999999867e-01,3.179268067899085511e-03
7.514999999999999458e-02,4.949999999999999956e-01,3.166626842977021596e-03
7.484999999999999987e-02,5.050000000000000044e-01,3.153985618054957682e-03
7.455000000000000515e-02,5.150000000000000133e-01,3.141344393132894201e-03
7.425000000000001044e-02,5.250000000000000222e-01,3.128703168210830287e-03
7.394999999999998797e-02,5.350000000000000311e-01,3.116061943288765939e-03
7.364999999999999325e-02,5.450000000000000400e-01,3.103420718366702025e-03
7.334999999999999853e-02,5.550000000000000488e-01,3.090779493444638110e-03
7.305000000000000382e-02,5.649999999999999467e-01,3.078138268522574196e-03
7.275000000000000910e-02,5.749999999999999556e-01,3.065497043600510282e-03
7.245000000000000051e-02,5.849999999999999645e-01,3.052855818678446367e-03
7.215000000000000580e-02,5.949999999999999734e-01,3.040214593756382453e-03
7.184999999999999720e-02,6.049999999999999822e-01,3.027573368834318105e-03
7.155000000000000249e-02,6.149999999999999911e-01,3.014932143912254191e-03
7.125000000000000777e-02,6.250000000000000000e-01,3.002290918990190276e-03
7.094999999999999918e-02,6.350000000000000089e-01,2.989649694068126362e-03
7.065000000000000446e-02,6.450000000000000178e-01,2.977008469146062448e-03
7.034999999999999587e-02,6.550000000000000266e-01,2.964367244223998100e-03
7.005000000000000115e-02,6.650000000000000355e-01,2.951726019301934619e-03
6.975000000000000644e-02,6.750000000000000444e-01,2.939084794379870705e-03
6.944999999999999785e-02,6.850000000000000533e-01,2.926443569457806790e-03
6.915000000000000313e-02,6.949999999999999512e-01,2.913802344535742876e-03
6.885000000000000842e-02,7.049999999999999600e-01,2.901161119613678962e-03
6.854999999999999982e-02,7.149999999999999689e-01,2.888519894691615048e-03
6.825000000000000511e-02,7.249999999999999778e-01,2.875878669769550700e-03
6.794999999999999651e-02,7.349999999999999867e-01,2.863237444847486785e-03
6.765000000000000180e-02,7.449999999999999956e-01,2.850596219925422871e-03
6.735000000000000708e-02,7.550000000000000044e-01,2.837954995003358957e-03
6.704999999999999849e-02,7.650000000000000133e-01,2.825313770081295042e-03
